code,name,market_id,category33_id,category17_id,scale_id
1301,極洋,1,50.0,1.0,6.0
1332,日本水産,1,50.0,1.0,6.0
1333,マルハニチロ,1,50.0,1.0,4.0
1352,ホウスイ,1,6050.0,13.0,7.0
1376,カネコ種苗,1,50.0,1.0,7.0
1377,サカタのタネ,1,50.0,1.0,6.0
1379,ホクト,1,50.0,1.0,6.0
1380,秋川牧園,3,50.0,1.0,
1381,アクシーズ,3,50.0,1.0,
1382,ホーブ,3,50.0,1.0,
1383,ベルグアース,3,50.0,1.0,
1384,ホクリヨウ,1,50.0,1.0,7.0
1400,ルーデン・ホールディングス,4,2050.0,3.0,
1401,エムビーエス,5,2050.0,3.0,
1407,ウエストホールディングス,3,2050.0,3.0,
1408,サムシングホールディングス,4,2050.0,3.0,
1414,ショーボンドホールディングス,1,2050.0,3.0,6.0
1417,ミライト・ホールディングス,1,2050.0,3.0,6.0
1418,インターライフホールディングス,3,2050.0,3.0,
1419,タマホーム,1,2050.0,3.0,7.0
1420,サンヨーホームズ,1,2050.0,3.0,7.0
1429,日本アクア,5,2050.0,3.0,
1430,ファーストコーポレーション,5,2050.0,3.0,
1432,動力,7,2050.0,3.0,
1433,ベステラ,5,2050.0,3.0,
1434,ＪＥＳＣＯホールディングス,6,2050.0,3.0,
1435,インベスターズクラウド,5,2050.0,3.0,
1436,フィット,5,2050.0,3.0,
1491,中外鉱業,6,3500.0,7.0,
1514,住石ホールディングス,1,1050.0,2.0,7.0
1515,日鉄鉱業,1,1050.0,2.0,6.0
1518,三井松島産業,1,1050.0,2.0,6.0
1605,国際石油開発帝石,1,1050.0,2.0,2.0
1606,日本海洋掘削,1,1050.0,2.0,6.0
1662,石油資源開発,1,1050.0,2.0,4.0
1663,Ｋ＆Ｏエナジーグループ,1,1050.0,2.0,7.0
1711,省電舎,6,2050.0,3.0,
1712,ダイセキ環境ソリューション,1,2050.0,3.0,7.0
1716,第一カッター興業,3,2050.0,3.0,
1717,明豊ファシリティワークス,3,2050.0,3.0,
1718,美樹工業,3,2050.0,3.0,
1719,安藤・間,1,2050.0,3.0,6.0
1720,東急建設,1,2050.0,3.0,6.0
1721,コムシスホールディングス,1,2050.0,3.0,4.0
1722,ミサワホーム,1,2050.0,3.0,6.0
1723,日本電技,3,2050.0,3.0,
1724,シンクレイヤ,3,2050.0,3.0,
1726,ビーアールホールディングス,1,2050.0,3.0,7.0
1728,ミサワホーム中国,3,2050.0,3.0,
1730,麻生フオームクリート,3,2050.0,3.0,
1736,オーテック,3,2050.0,3.0,
1737,三井金属エンジニアリング,6,2050.0,3.0,
1739,シード平和,4,2050.0,3.0,
1743,コーアツ工業,6,2050.0,3.0,
1757,クレアホールディングス,6,2050.0,3.0,
1758,太洋基礎工業,3,2050.0,3.0,
1762,高松コンストラクショングループ,1,2050.0,3.0,7.0
1764,工藤建設,6,2050.0,3.0,
1766,東建コーポレーション,1,2050.0,3.0,6.0
1768,ソネック,1,2050.0,3.0,7.0
1770,藤田エンジニアリング,3,2050.0,3.0,
1773,ワイ・ティー・エル・コーポレーション・バーハッド,10,2050.0,3.0,
1775,富士古河Ｅ＆Ｃ,6,2050.0,3.0,
1776,三井住建道路,6,2050.0,3.0,
1780,ヤマウラ,1,2050.0,3.0,7.0
1782,常磐開発,3,2050.0,3.0,
1783,アジアゲートホールディングス,3,2050.0,3.0,
1787,ナカボーテック,3,2050.0,3.0,
1788,三東工業社,3,2050.0,3.0,
1789,山加電業,3,2050.0,3.0,
1793,大本組,3,2050.0,3.0,
1795,マサル,3,2050.0,3.0,
1798,守谷商会,3,2050.0,3.0,
1799,第一建設工業,3,2050.0,3.0,
1801,大成建設,1,2050.0,3.0,4.0
1802,大林組,1,2050.0,3.0,4.0
1803,清水建設,1,2050.0,3.0,4.0
1805,飛島建設,1,2050.0,3.0,6.0
1807,佐藤渡辺,3,2050.0,3.0,
1808,長谷工コーポレーション,1,2050.0,3.0,4.0
1810,松井建設,1,2050.0,3.0,7.0
1811,錢高組,1,2050.0,3.0,7.0
1812,鹿島建設,1,2050.0,3.0,4.0
1813,不動テトラ,1,2050.0,3.0,6.0
1814,大末建設,1,2050.0,3.0,7.0
1815,鉄建建設,1,2050.0,3.0,6.0
1820,西松建設,1,2050.0,3.0,4.0
1821,三井住友建設,1,2050.0,3.0,4.0
1822,大豊建設,1,2050.0,3.0,6.0
1824,前田建設工業,1,2050.0,3.0,4.0
1826,佐田建設,1,2050.0,3.0,7.0
1827,ナカノフドー建設,1,2050.0,3.0,7.0
1828,田辺工業,6,2050.0,3.0,
1833,奥村組,1,2050.0,3.0,4.0
1835,東鉄工業,1,2050.0,3.0,6.0
1840,土屋ホールディングス,6,2050.0,3.0,
1841,サンユー建設,3,2050.0,3.0,
1844,大盛工業,6,2050.0,3.0,
1846,鈴縫工業,6,2050.0,3.0,
1847,イチケン,1,2050.0,3.0,7.0
1848,富士ピー・エス,6,2050.0,3.0,
1850,南海辰村建設,6,2050.0,3.0,
1852,淺沼組,1,2050.0,3.0,7.0
1853,森組,6,2050.0,3.0,
1860,戸田建設,1,2050.0,3.0,4.0
1861,熊谷組,1,2050.0,3.0,6.0
1865,青木あすなろ建設,1,2050.0,3.0,7.0
1866,北野建設,1,2050.0,3.0,7.0
1867,植木組,1,2050.0,3.0,7.0
1868,三井ホーム,1,2050.0,3.0,7.0
1870,矢作建設工業,1,2050.0,3.0,7.0
1871,ピーエス三菱,1,2050.0,3.0,7.0
